ROI Label,ROI Name,R,A,S,label_df2
1,7Networks_LH_Vis_1,-24,-54,-10,17Networks_LH_VisPeri_ExStrInf_1
2,7Networks_LH_Vis_2,-26,-78,-14,17Networks_LH_VisCent_ExStr_1
3,7Networks_LH_Vis_3,-46,-70,-8,17Networks_LH_DorsAttnA_TempOcc_2
4,7Networks_LH_Vis_4,-10,-68,-4,17Networks_LH_VisPeri_ExStrInf_2
5,7Networks_LH_Vis_5,-26,-96,-12,17Networks_LH_VisCent_ExStr_2
6,7Networks_LH_Vis_6,-14,-44,-2,17Networks_LH_VisPeri_ExStrInf_3
7,7Networks_LH_Vis_7,-6,-92,-4,17Networks_LH_VisCent_Striate_1
8,7Networks_LH_Vis_8,-48,-70,10,17Networks_LH_DorsAttnA_ParOcc_1
9,7Networks_LH_Vis_9,-22,-96,6,17Networks_LH_VisCent_ExStr_3
10,7Networks_LH_Vis_10,-12,-70,8,17Networks_LH_VisPeri_StriCal_1
11,7Networks_LH_Vis_11,-40,-84,10,17Networks_LH_VisCent_ExStr_4
12,7Networks_LH_Vis_12,-12,-72,22,17Networks_LH_VisPeri_ExStrSup_1
13,7Networks_LH_Vis_13,-6,-88,28,17Networks_LH_VisPeri_ExStrSup_2
14,7Networks_LH_Vis_14,-24,-88,24,17Networks_LH_VisCent_ExStr_5
15,7Networks_LH_SomMot_1,-50,-4,-2,17Networks_LH_SomMotB_Aud_1
16,7Networks_LH_SomMot_2,-54,-24,10,17Networks_LH_SomMotB_Aud_2
17,7Networks_LH_SomMot_3,-36,-22,16,17Networks_LH_SomMotB_S2_1
18,7Networks_LH_SomMot_4,-56,-4,10,17Networks_LH_SomMotB_S2_2
19,7Networks_LH_SomMot_5,-52,-22,18,17Networks_LH_SomMotB_S2_3
20,7Networks_LH_SomMot_6,-56,-8,30,17Networks_LH_SomMotB_Cent_1
21,7Networks_LH_SomMot_7,-48,-8,46,17Networks_LH_SomMotB_Cent_2
22,7Networks_LH_SomMot_8,-8,-12,46,17Networks_LH_SomMotA_1
23,7Networks_LH_SomMot_9,-48,-28,56,17Networks_LH_SomMotA_2
24,7Networks_LH_SomMot_10,-40,-26,56,17Networks_LH_SomMotA_3
25,7Networks_LH_SomMot_11,-30,-46,62,17Networks_LH_DorsAttnB_PostC_3
26,7Networks_LH_SomMot_12,-32,-22,64,17Networks_LH_SomMotA_4
27,7Networks_LH_SomMot_13,-26,-38,68,17Networks_LH_SomMotA_5
28,7Networks_LH_SomMot_14,-20,-10,68,17Networks_LH_SomMotA_6
29,7Networks_LH_SomMot_15,-4,-32,66,17Networks_LH_SomMotA_7
30,7Networks_LH_SomMot_16,-20,-30,68,17Networks_LH_SomMotA_8
31,7Networks_LH_DorsAttn_Post_1,-44,-48,-20,17Networks_LH_DorsAttnA_TempOcc_1
32,7Networks_LH_DorsAttn_Post_2,-56,-60,-2,17Networks_LH_ContA_Temp_1
33,7Networks_LH_DorsAttn_Post_3,-26,-70,38,17Networks_LH_DorsAttnA_SPL_1
34,7Networks_LH_DorsAttn_Post_4,-54,-26,42,17Networks_LH_DorsAttnB_PostC_1
35,7Networks_LH_DorsAttn_Post_5,-40,-36,48,17Networks_LH_DorsAttnB_PostC_2
36,7Networks_LH_DorsAttn_Post_6,-32,-48,46,17Networks_LH_ContA_IPS_3
37,7Networks_LH_DorsAttn_Post_7,-16,-72,54,17Networks_LH_DorsAttnA_SPL_2
38,7Networks_LH_DorsAttn_Post_8,-30,-60,60,17Networks_LH_DorsAttnA_SPL_3
39,7Networks_LH_DorsAttn_Post_9,-6,-60,56,17Networks_LH_ContC_pCun_2
40,7Networks_LH_DorsAttn_Post_10,-18,-54,68,17Networks_LH_DorsAttnB_PostC_4
41,7Networks_LH_DorsAttn_FEF_1,-32,-4,54,17Networks_LH_DorsAttnB_FEF_1
42,7Networks_LH_DorsAttn_FEF_2,-22,6,62,17Networks_LH_ContA_PFCd_1
43,7Networks_LH_DorsAttn_PrCv_1,-48,6,28,17Networks_LH_ContA_PFCl_2
44,7Networks_LH_SalVentAttn_ParOper_1,-56,-40,20,17Networks_LH_SomMotB_Aud_3
45,7Networks_LH_SalVentAttn_ParOper_2,-62,-26,28,17Networks_LH_SalVentAttnA_ParOper_1
46,7Networks_LH_SalVentAttn_ParOper_3,-60,-40,36,17Networks_LH_SalVentAttnB_IPL_1
47,7Networks_LH_SalVentAttn_FrOperIns_1,-40,-4,-4,17Networks_LH_SalVentAttnA_Ins_1
48,7Networks_LH_SalVentAttn_FrOperIns_2,-34,20,6,17Networks_LH_SalVentAttnB_Ins_1
49,7Networks_LH_SalVentAttn_FrOperIns_3,-38,0,10,17Networks_LH_SalVentAttnA_FrOper_1
50,7Networks_LH_SalVentAttn_FrOperIns_4,-52,8,10,17Networks_LH_SalVentAttnA_FrOper_2
51,7Networks_LH_SalVentAttn_PFCl_1,-28,42,32,17Networks_LH_SalVentAttnB_PFCl_1
52,7Networks_LH_SalVentAttn_Med_1,-6,10,42,17Networks_LH_SalVentAttnA_FrMed_1
53,7Networks_LH_SalVentAttn_Med_2,-12,-36,46,17Networks_LH_SalVentAttnA_ParMed_1
54,7Networks_LH_SalVentAttn_Med_3,-6,-2,66,17Networks_LH_SalVentAttnA_FrMed_2
